tournament,pool_id,fencer_num,fencer,opponent_num,opponent,bout_order,bout_type,cell_result,result,touches_scored,touches_allowed,score_margin,fencer_rating_pre,opp_rating_pre,strength_diff,win,fencer_bout_order,prev_win,recent_form_3
Feb NAC 2026,pool_13,6,ALLEN Henry G.,5,SCHIENEMAN Valentine,19,pool,V5,1,5,5,0,2327.0,1957.0,370.0,1,6,0.0,0.3333333333333333
Feb NAC 2026,pool_13,1,CHEN Matthew,7,LIU Derek,4,pool,D1,0,1,5,-4,2732.0,2799.0,-67.0,0,2,1.0,1.0
Feb NAC 2026,pool_13,1,CHEN Matthew,5,SCHIENEMAN Valentine,8,pool,V5,1,5,5,0,2732.0,1957.0,775.0,1,3,0.0,0.5
Feb NAC 2026,pool_13,1,CHEN Matthew,3,TIYA BIAYA K.,12,pool,V5,1,5,5,0,2732.0,2893.0,-161.0,1,4,1.0,0.6666666666666666
Feb NAC 2026,pool_13,1,CHEN Matthew,6,ALLEN Henry G.,16,pool,V5,1,5,5,0,2732.0,2327.0,405.0,1,5,1.0,0.6666666666666666
Feb NAC 2026,pool_13,1,CHEN Matthew,2,WEI Qiancheng (Matt),20,pool,V5,1,5,5,0,2732.0,2903.0,-171.0,1,6,1.0,1.0
Feb NAC 2026,pool_13,7,LIU Derek,6,ALLEN Henry G.,7,pool,V5,1,5,5,0,2799.0,2327.0,472.0,1,2,1.0,1.0
Feb NAC 2026,pool_13,7,LIU Derek,5,SCHIENEMAN Valentine,11,pool,V5,1,5,5,0,2799.0,1957.0,842.0,1,3,1.0,1.0
Feb NAC 2026,pool_13,7,LIU Derek,2,WEI Qiancheng (Matt),14,pool,D4,0,4,5,-1,2799.0,2903.0,-104.0,0,4,1.0,1.0
Feb NAC 2026,pool_13,7,LIU Derek,3,TIYA BIAYA K.,18,pool,V5,1,5,5,0,2799.0,2893.0,-94.0,1,5,0.0,0.6666666666666666
Feb NAC 2026,pool_13,7,LIU Derek,4,WONG Jacob W.,21,pool,V5,1,5,5,0,2799.0,2065.0,734.0,1,6,1.0,0.6666666666666666
Feb NAC 2026,pool_13,5,SCHIENEMAN Valentine,4,WONG Jacob W.,5,pool,D4,0,4,5,-1,1957.0,2065.0,-108.0,0,2,0.0,0.0
Feb NAC 2026,pool_13,5,SCHIENEMAN Valentine,1,CHEN Matthew,8,pool,D1,0,1,5,-4,1957.0,2732.0,-775.0,0,3,0.0,0.0
Feb NAC 2026,pool_13,5,SCHIENEMAN Valentine,7,LIU Derek,11,pool,D3,0,3,5,-2,1957.0,2799.0,-842.0,0,4,0.0,0.0
Feb NAC 2026,pool_13,5,SCHIENEMAN Valentine,3,TIYA BIAYA K.,15,pool,D1,0,1,5,-4,1957.0,2893.0,-936.0,0,5,0.0,0.0
Feb NAC 2026,pool_13,5,SCHIENEMAN Valentine,6,ALLEN Henry G.,19,pool,D0,0,0,5,-5,1957.0,2327.0,-370.0,0,6,0.0,0.0
Feb NAC 2026,pool_13,3,TIYA BIAYA K.,2,WEI Qiancheng (Matt),6,pool,D3,0,3,5,-2,2893.0,2903.0,-10.0,0,2,0.0,0.0
Feb NAC 2026,pool_13,3,TIYA BIAYA K.,4,WONG Jacob W.,9,pool,V5,1,5,5,0,2893.0,2065.0,828.0,1,3,0.0,0.0
Feb NAC 2026,pool_13,3,TIYA BIAYA K.,1,CHEN Matthew,12,pool,D2,0,2,5,-3,2893.0,2732.0,161.0,0,4,1.0,0.3333333333333333
Feb NAC 2026,pool_13,3,TIYA BIAYA K.,5,SCHIENEMAN Valentine,15,pool,V5,1,5,5,0,2893.0,1957.0,936.0,1,5,0.0,0.3333333333333333
Feb NAC 2026,pool_13,3,TIYA BIAYA K.,7,LIU Derek,18,pool,D2,0,2,5,-3,2893.0,2799.0,94.0,0,6,1.0,0.6666666666666666
Feb NAC 2026,pool_13,2,WEI Qiancheng (Matt),3,TIYA BIAYA K.,6,pool,V5,1,5,5,0,2903.0,2893.0,10.0,1,2,1.0,1.0
Feb NAC 2026,pool_13,2,WEI Qiancheng (Matt),6,ALLEN Henry G.,10,pool,V5,1,5,5,0,2903.0,2327.0,576.0,1,3,1.0,1.0
Feb NAC 2026,pool_13,2,WEI Qiancheng (Matt),7,LIU Derek,14,pool,V5,1,5,5,0,2903.0,2799.0,104.0,1,4,1.0,1.0
Feb NAC 2026,pool_13,2,WEI Qiancheng (Matt),4,WONG Jacob W.,17,pool,V5,1,5,5,0,2903.0,2065.0,838.0,1,5,1.0,1.0
